Training: 2021-10-28 22:59:42,753-rank_id: 0
Training: 2021-10-28 22:59:49,109-backbone resume successfully!
Training: 2021-10-28 22:59:49,191-softmax weight init!
Training: 2021-10-28 22:59:49,191-softmax weight mom init!
Training: 2021-10-28 22:59:49,193-: loss                     arcface
Training: 2021-10-28 22:59:49,193-: network                  r50
Training: 2021-10-28 22:59:49,193-: resume                   True
Training: 2021-10-28 22:59:49,193-: output                   /output/webface_r50_512_3
Training: 2021-10-28 22:59:49,193-: dataset                  webface
Training: 2021-10-28 22:59:49,193-: embedding_size           512
Training: 2021-10-28 22:59:49,193-: sample_rate              1
Training: 2021-10-28 22:59:49,193-: fp16                     False
Training: 2021-10-28 22:59:49,193-: momentum                 0.9
Training: 2021-10-28 22:59:49,193-: weight_decay             0.0005
Training: 2021-10-28 22:59:49,193-: batch_size               64
Training: 2021-10-28 22:59:49,194-: lr                       0.1
Training: 2021-10-28 22:59:49,194-: rec                      /data
Training: 2021-10-28 22:59:49,194-: num_classes              10572
Training: 2021-10-28 22:59:49,194-: num_image                forget
Training: 2021-10-28 22:59:49,194-: num_epoch                10
Training: 2021-10-28 22:59:49,194-: warmup_epoch             -1
Training: 2021-10-28 22:59:49,194-: decay_epoch              []
Training: 2021-10-28 22:59:49,194-: val_targets              ['agedb_30', 'dev_00', 'dev_04']
Training: 2021-10-28 22:59:49,194-: resume_file              /pretrained/backbone.pth
Training: 2021-10-28 22:59:49,194-: warmup_step              -2483
Training: 2021-10-28 22:59:49,194-: total_step               24830
Training: 2021-10-28 22:59:49,194-: decay_step               []
Training: 2021-10-28 22:59:49,194-Dataset initialization
Training: 2021-10-28 23:01:39,413-Dataset initialization completed
Training: 2021-10-28 23:01:43,449-Reducer buckets have been rebuilt in this iteration.
Training: 2021-10-28 23:03:01,843-Speed 154.76 samples/sec   Loss 34.2822   LearningRate 0.0250000   Epoch: 0   Global Step: 100   Required: 6 hours
Training: 2021-10-28 23:03:40,925-Speed 163.77 samples/sec   Loss 25.3398   LearningRate 0.0250000   Epoch: 0   Global Step: 150   Required: 6 hours
Training: 2021-10-28 23:04:18,879-Speed 168.64 samples/sec   Loss 22.6873   LearningRate 0.0250000   Epoch: 0   Global Step: 200   Required: 5 hours
Training: 2021-10-28 23:04:55,334-Speed 175.57 samples/sec   Loss 20.6077   LearningRate 0.0250000   Epoch: 0   Global Step: 250   Required: 5 hours
Training: 2021-10-28 23:05:28,258-Speed 194.41 samples/sec   Loss 19.4946   LearningRate 0.0250000   Epoch: 0   Global Step: 300   Required: 5 hours
Training: 2021-10-28 23:05:58,486-Speed 211.74 samples/sec   Loss 18.2743   LearningRate 0.0250000   Epoch: 0   Global Step: 350   Required: 5 hours
Training: 2021-10-28 23:06:26,342-Speed 229.78 samples/sec   Loss 17.0952   LearningRate 0.0250000   Epoch: 0   Global Step: 400   Required: 5 hours
Training: 2021-10-28 23:06:52,541-Speed 244.32 samples/sec   Loss 16.5184   LearningRate 0.0250000   Epoch: 0   Global Step: 450   Required: 5 hours
Training: 2021-10-28 23:07:18,443-Speed 247.10 samples/sec   Loss 16.1409   LearningRate 0.0250000   Epoch: 0   Global Step: 500   Required: 5 hours
Training: 2021-10-28 23:07:44,221-Speed 248.29 samples/sec   Loss 15.8439   LearningRate 0.0250000   Epoch: 0   Global Step: 550   Required: 4 hours
Training: 2021-10-28 23:08:09,966-Speed 248.62 samples/sec   Loss 15.0246   LearningRate 0.0250000   Epoch: 0   Global Step: 600   Required: 4 hours
Training: 2021-10-28 23:08:35,748-Speed 248.27 samples/sec   Loss 14.8794   LearningRate 0.0250000   Epoch: 0   Global Step: 650   Required: 4 hours
Training: 2021-10-28 23:09:01,529-Speed 248.28 samples/sec   Loss 14.6678   LearningRate 0.0250000   Epoch: 0   Global Step: 700   Required: 4 hours
Training: 2021-10-28 23:09:27,274-Speed 248.63 samples/sec   Loss 14.3798   LearningRate 0.0250000   Epoch: 0   Global Step: 750   Required: 4 hours
Training: 2021-10-28 23:09:53,019-Speed 248.62 samples/sec   Loss 14.2565   LearningRate 0.0250000   Epoch: 0   Global Step: 800   Required: 4 hours
Training: 2021-10-28 23:10:18,766-Speed 248.60 samples/sec   Loss 13.7057   LearningRate 0.0250000   Epoch: 0   Global Step: 850   Required: 4 hours
Training: 2021-10-28 23:10:44,548-Speed 248.26 samples/sec   Loss 13.7011   LearningRate 0.0250000   Epoch: 0   Global Step: 900   Required: 4 hours
Training: 2021-10-28 23:11:10,311-Speed 248.44 samples/sec   Loss 13.7065   LearningRate 0.0250000   Epoch: 0   Global Step: 950   Required: 4 hours
Training: 2021-10-28 23:11:36,070-Speed 248.48 samples/sec   Loss 13.3561   LearningRate 0.0250000   Epoch: 0   Global Step: 1000   Required: 4 hours
Training: 2021-10-28 23:12:01,824-Speed 248.54 samples/sec   Loss 13.2482   LearningRate 0.0250000   Epoch: 0   Global Step: 1050   Required: 4 hours
Training: 2021-10-28 23:12:27,663-Speed 247.72 samples/sec   Loss 13.2058   LearningRate 0.0250000   Epoch: 0   Global Step: 1100   Required: 4 hours
Training: 2021-10-28 23:12:53,566-Speed 247.09 samples/sec   Loss 12.8801   LearningRate 0.0250000   Epoch: 0   Global Step: 1150   Required: 4 hours
Training: 2021-10-28 23:13:19,467-Speed 247.14 samples/sec   Loss 12.8870   LearningRate 0.0250000   Epoch: 0   Global Step: 1200   Required: 4 hours
Training: 2021-10-28 23:13:45,341-Speed 247.38 samples/sec   Loss 12.7447   LearningRate 0.0250000   Epoch: 0   Global Step: 1250   Required: 4 hours
Training: 2021-10-28 23:14:11,219-Speed 247.34 samples/sec   Loss 12.5788   LearningRate 0.0250000   Epoch: 0   Global Step: 1300   Required: 4 hours
Training: 2021-10-28 23:14:37,125-Speed 247.06 samples/sec   Loss 12.3469   LearningRate 0.0250000   Epoch: 0   Global Step: 1350   Required: 4 hours
Training: 2021-10-28 23:15:03,036-Speed 247.02 samples/sec   Loss 12.3252   LearningRate 0.0250000   Epoch: 0   Global Step: 1400   Required: 4 hours
Training: 2021-10-28 23:15:28,966-Speed 246.84 samples/sec   Loss 12.2935   LearningRate 0.0250000   Epoch: 0   Global Step: 1450   Required: 4 hours
Training: 2021-10-28 23:15:54,897-Speed 246.83 samples/sec   Loss 12.6028   LearningRate 0.0250000   Epoch: 0   Global Step: 1500   Required: 4 hours
Training: 2021-10-28 23:16:20,721-Speed 247.84 samples/sec   Loss 12.4182   LearningRate 0.0250000   Epoch: 0   Global Step: 1550   Required: 4 hours
Training: 2021-10-28 23:16:46,515-Speed 248.16 samples/sec   Loss 12.3656   LearningRate 0.0250000   Epoch: 0   Global Step: 1600   Required: 4 hours
Training: 2021-10-28 23:17:12,344-Speed 247.80 samples/sec   Loss 12.1678   LearningRate 0.0250000   Epoch: 0   Global Step: 1650   Required: 4 hours
Training: 2021-10-28 23:17:38,207-Speed 247.47 samples/sec   Loss 12.1843   LearningRate 0.0250000   Epoch: 0   Global Step: 1700   Required: 4 hours
Training: 2021-10-28 23:18:04,076-Speed 247.42 samples/sec   Loss 12.0924   LearningRate 0.0250000   Epoch: 0   Global Step: 1750   Required: 4 hours
Training: 2021-10-28 23:18:29,930-Speed 247.58 samples/sec   Loss 12.1000   LearningRate 0.0250000   Epoch: 0   Global Step: 1800   Required: 4 hours
Training: 2021-10-28 23:18:55,803-Speed 247.38 samples/sec   Loss 12.1323   LearningRate 0.0250000   Epoch: 0   Global Step: 1850   Required: 4 hours
Training: 2021-10-28 23:19:21,653-Speed 247.62 samples/sec   Loss 11.9393   LearningRate 0.0250000   Epoch: 0   Global Step: 1900   Required: 4 hours
Training: 2021-10-28 23:19:47,532-Speed 247.33 samples/sec   Loss 11.6456   LearningRate 0.0250000   Epoch: 0   Global Step: 1950   Required: 4 hours
Training: 2021-10-28 23:20:13,381-Speed 247.63 samples/sec   Loss 11.8055   LearningRate 0.0250000   Epoch: 0   Global Step: 2000   Required: 4 hours
Training: 2021-10-28 23:21:37,377-[agedb_30][2000]XNorm: 13.321588
Training: 2021-10-28 23:21:37,377-[agedb_30][2000]Accuracy-Flip: 0.74433+-0.02544
Training: 2021-10-28 23:21:37,377-[agedb_30][2000]Accuracy-Highest: 0.74433
Training: 2021-10-28 23:25:04,022-[dev_00][2000]XNorm: 16.062772
Training: 2021-10-28 23:25:04,022-[dev_00][2000]Accuracy-Flip: 0.52987+-0.04349
Training: 2021-10-28 23:25:04,022-[dev_00][2000]Accuracy-Highest: 0.52987
Training: 2021-10-28 23:26:35,133-[dev_04][2000]XNorm: 16.026600
Training: 2021-10-28 23:26:35,134-[dev_04][2000]Accuracy-Flip: 0.48962+-0.01964
Training: 2021-10-28 23:26:35,134-[dev_04][2000]Accuracy-Highest: 0.48962
Training: 2021-10-28 23:27:00,161-Speed 15.73 samples/sec   Loss 11.8590   LearningRate 0.0250000   Epoch: 0   Global Step: 2050   Required: 5 hours
