Training: 2021-11-05 11:54:30,296-rank_id: 0
Training: 2021-11-05 11:54:36,652-backbone resume successfully!
Training: 2021-11-05 11:54:36,751-softmax weight init!
Training: 2021-11-05 11:54:36,751-softmax weight mom init!
Training: 2021-11-05 11:54:36,752-: loss                     arcface
Training: 2021-11-05 11:54:36,752-: network                  r50
Training: 2021-11-05 11:54:36,752-: resume                   True
Training: 2021-11-05 11:54:36,752-: output                   /output/webface_r50_512_4
Training: 2021-11-05 11:54:36,752-: dataset                  webface
Training: 2021-11-05 11:54:36,753-: embedding_size           512
Training: 2021-11-05 11:54:36,753-: sample_rate              1
Training: 2021-11-05 11:54:36,753-: fp16                     False
Training: 2021-11-05 11:54:36,753-: momentum                 0.9
Training: 2021-11-05 11:54:36,753-: weight_decay             0.0005
Training: 2021-11-05 11:54:36,753-: batch_size               64
Training: 2021-11-05 11:54:36,753-: lr                       0.1
Training: 2021-11-05 11:54:36,753-: rec                      /data
Training: 2021-11-05 11:54:36,753-: num_classes              10572
Training: 2021-11-05 11:54:36,753-: num_image                forget
Training: 2021-11-05 11:54:36,753-: num_epoch                10
Training: 2021-11-05 11:54:36,753-: warmup_epoch             -1
Training: 2021-11-05 11:54:36,753-: decay_epoch              []
Training: 2021-11-05 11:54:36,754-: val_targets              ['agedb_30', 'dev_00', 'dev_04']
Training: 2021-11-05 11:54:36,754-: resume_file              /pretrained/backbone.pth
Training: 2021-11-05 11:54:36,754-: warmup_step              -1549
Training: 2021-11-05 11:54:36,754-: total_step               15490
Training: 2021-11-05 11:54:36,754-: decay_step               []
Training: 2021-11-05 11:54:36,754-Dataset initialization
Training: 2021-11-05 11:56:28,158-Dataset initialization completed
Training: 2021-11-05 11:56:32,891-Reducer buckets have been rebuilt in this iteration.
Training: 2021-11-05 11:57:51,709-Speed 159.74 samples/sec   Loss 38.8243   LearningRate 0.0250000   Epoch: 0   Global Step: 100   Required: 4 hours
Training: 2021-11-05 11:58:27,782-Speed 177.43 samples/sec   Loss 29.9000   LearningRate 0.0250000   Epoch: 0   Global Step: 150   Required: 3 hours
Training: 2021-11-05 11:59:00,159-Speed 197.69 samples/sec   Loss 26.3451   LearningRate 0.0250000   Epoch: 0   Global Step: 200   Required: 3 hours
Training: 2021-11-05 11:59:28,389-Speed 226.74 samples/sec   Loss 23.3845   LearningRate 0.0250000   Epoch: 0   Global Step: 250   Required: 3 hours
Training: 2021-11-05 11:59:54,659-Speed 243.64 samples/sec   Loss 21.4737   LearningRate 0.0250000   Epoch: 0   Global Step: 300   Required: 3 hours
Training: 2021-11-05 12:00:20,848-Speed 244.40 samples/sec   Loss 20.1833   LearningRate 0.0250000   Epoch: 0   Global Step: 350   Required: 3 hours
Training: 2021-11-05 12:00:47,110-Speed 243.73 samples/sec   Loss 18.8933   LearningRate 0.0250000   Epoch: 0   Global Step: 400   Required: 3 hours
Training: 2021-11-05 12:01:13,402-Speed 243.46 samples/sec   Loss 18.1514   LearningRate 0.0250000   Epoch: 0   Global Step: 450   Required: 3 hours
Training: 2021-11-05 12:01:39,707-Speed 243.33 samples/sec   Loss 17.5678   LearningRate 0.0250000   Epoch: 0   Global Step: 500   Required: 3 hours
Training: 2021-11-05 12:02:06,033-Speed 243.15 samples/sec   Loss 16.2926   LearningRate 0.0250000   Epoch: 0   Global Step: 550   Required: 3 hours
Training: 2021-11-05 12:02:32,328-Speed 243.42 samples/sec   Loss 16.0204   LearningRate 0.0250000   Epoch: 0   Global Step: 600   Required: 3 hours
Training: 2021-11-05 12:02:58,620-Speed 243.46 samples/sec   Loss 15.6917   LearningRate 0.0250000   Epoch: 0   Global Step: 650   Required: 2 hours
Training: 2021-11-05 12:03:24,873-Speed 243.81 samples/sec   Loss 15.1268   LearningRate 0.0250000   Epoch: 0   Global Step: 700   Required: 2 hours
Training: 2021-11-05 12:03:51,129-Speed 243.79 samples/sec   Loss 14.7981   LearningRate 0.0250000   Epoch: 0   Global Step: 750   Required: 2 hours
