Training: 2021-10-28 11:43:54,390-rank_id: 0
Training: 2021-10-28 11:44:00,514-backbone resume successfully!
Training: 2021-10-28 11:44:00,590-softmax weight init!
Training: 2021-10-28 11:44:00,590-softmax weight mom init!
Training: 2021-10-28 11:44:00,591-: loss                     arcface
Training: 2021-10-28 11:44:00,591-: network                  r50
Training: 2021-10-28 11:44:00,591-: resume                   True
Training: 2021-10-28 11:44:00,591-: output                   /output/webface_r50_512_2
Training: 2021-10-28 11:44:00,591-: dataset                  webface
Training: 2021-10-28 11:44:00,592-: embedding_size           512
Training: 2021-10-28 11:44:00,592-: sample_rate              1
Training: 2021-10-28 11:44:00,592-: fp16                     False
Training: 2021-10-28 11:44:00,592-: momentum                 0.9
Training: 2021-10-28 11:44:00,592-: weight_decay             0.0005
Training: 2021-10-28 11:44:00,592-: batch_size               64
Training: 2021-10-28 11:44:00,592-: lr                       0.1
Training: 2021-10-28 11:44:00,592-: rec                      /data
Training: 2021-10-28 11:44:00,592-: num_classes              10572
Training: 2021-10-28 11:44:00,592-: num_image                forget
Training: 2021-10-28 11:44:00,592-: num_epoch                20
Training: 2021-10-28 11:44:00,592-: warmup_epoch             -1
Training: 2021-10-28 11:44:00,592-: decay_epoch              []
Training: 2021-10-28 11:44:00,592-: val_targets              ['agedb_30', 'dev_00', 'dev_04']
Training: 2021-10-28 11:44:00,593-: resume_file              /pretrained/backbone.pth
Training: 2021-10-28 11:44:00,593-: warmup_step              -2483
Training: 2021-10-28 11:44:00,593-: total_step               49660
Training: 2021-10-28 11:44:00,593-: decay_step               []
Training: 2021-10-28 11:44:00,593-Dataset initialization
Training: 2021-10-28 11:45:51,267-Dataset initialization completed
Training: 2021-10-28 11:45:56,295-Reducer buckets have been rebuilt in this iteration.
Training: 2021-10-28 11:47:14,972-Speed 154.31 samples/sec   Loss 40.0850   LearningRate 0.0250000   Epoch: 0   Global Step: 100   Required: 11 hours
Training: 2021-10-28 11:47:54,672-Speed 161.22 samples/sec   Loss 32.2860   LearningRate 0.0250000   Epoch: 0   Global Step: 150   Required: 11 hours
Training: 2021-10-28 11:48:33,260-Speed 165.87 samples/sec   Loss 29.8227   LearningRate 0.0250000   Epoch: 0   Global Step: 200   Required: 11 hours
