Training: 2021-10-27 21:45:16,834-rank_id: 0
Training: 2021-10-27 21:45:22,959-softmax weight init successfully!
Training: 2021-10-27 21:45:22,959-softmax weight mom init successfully!
Training: 2021-10-27 21:45:22,961-: loss                     arcface
Training: 2021-10-27 21:45:22,961-: network                  r50
Training: 2021-10-27 21:45:22,961-: resume                   False
Training: 2021-10-27 21:45:22,961-: output                   /output/webface_r50_512
Training: 2021-10-27 21:45:22,961-: dataset                  webface
Training: 2021-10-27 21:45:22,961-: embedding_size           512
Training: 2021-10-27 21:45:22,961-: sample_rate              1
Training: 2021-10-27 21:45:22,961-: fp16                     False
Training: 2021-10-27 21:45:22,961-: momentum                 0.9
Training: 2021-10-27 21:45:22,961-: weight_decay             0.0005
Training: 2021-10-27 21:45:22,962-: batch_size               64
Training: 2021-10-27 21:45:22,962-: lr                       1
Training: 2021-10-27 21:45:22,962-: rec                      /data
Training: 2021-10-27 21:45:22,962-: num_classes              10572
Training: 2021-10-27 21:45:22,962-: num_image                forget
Training: 2021-10-27 21:45:22,962-: num_epoch                20
Training: 2021-10-27 21:45:22,962-: warmup_epoch             -1
Training: 2021-10-27 21:45:22,962-: decay_epoch              [20, 30, 40]
Training: 2021-10-27 21:45:22,962-: val_targets              ['agedb_30', 'dev_00', 'dev_04']
Training: 2021-10-27 21:45:22,962-: warmup_step              -2483
Training: 2021-10-27 21:45:22,962-: total_step               49660
Training: 2021-10-27 21:45:22,962-: decay_step               [49674, 74512, 99349]
Training: 2021-10-27 21:45:22,963-Dataset initialization
Training: 2021-10-27 21:47:13,569-Dataset initialization completed
Training: 2021-10-27 21:47:18,187-Reducer buckets have been rebuilt in this iteration.
Training: 2021-10-27 21:48:37,904-Speed 154.81 samples/sec   Loss 65.2856   LearningRate 0.2500000   Epoch: 0   Global Step: 100   Required: 11 hours
Training: 2021-10-27 21:49:17,530-Speed 161.52 samples/sec   Loss 66.9716   LearningRate 0.2500000   Epoch: 0   Global Step: 150   Required: 11 hours
Training: 2021-10-27 21:49:55,601-Speed 168.12 samples/sec   Loss 66.0878   LearningRate 0.2500000   Epoch: 0   Global Step: 200   Required: 11 hours
Training: 2021-10-27 21:50:31,862-Speed 176.52 samples/sec   Loss 64.7647   LearningRate 0.2500000   Epoch: 0   Global Step: 250   Required: 11 hours
Training: 2021-10-27 21:51:04,932-Speed 193.55 samples/sec   Loss 62.6073   LearningRate 0.2500000   Epoch: 0   Global Step: 300   Required: 11 hours
Training: 2021-10-27 21:51:35,550-Speed 209.05 samples/sec   Loss 59.5448   LearningRate 0.2500000   Epoch: 0   Global Step: 350   Required: 10 hours
Training: 2021-10-27 21:52:03,678-Speed 227.56 samples/sec   Loss 55.8275   LearningRate 0.2500000   Epoch: 0   Global Step: 400   Required: 10 hours
Training: 2021-10-27 21:52:29,530-Speed 247.59 samples/sec   Loss 53.1545   LearningRate 0.2500000   Epoch: 0   Global Step: 450   Required: 10 hours
Training: 2021-10-27 21:52:55,197-Speed 249.38 samples/sec   Loss 51.4755   LearningRate 0.2500000   Epoch: 0   Global Step: 500   Required: 9 hours
Training: 2021-10-27 21:53:20,832-Speed 249.69 samples/sec   Loss 49.6897   LearningRate 0.2500000   Epoch: 0   Global Step: 550   Required: 9 hours
Training: 2021-10-27 21:53:46,486-Speed 249.51 samples/sec   Loss 47.6648   LearningRate 0.2500000   Epoch: 0   Global Step: 600   Required: 9 hours
Training: 2021-10-27 21:54:12,080-Speed 250.07 samples/sec   Loss 46.4861   LearningRate 0.2500000   Epoch: 0   Global Step: 650   Required: 9 hours
Training: 2021-10-27 21:54:37,621-Speed 250.61 samples/sec   Loss 45.8592   LearningRate 0.2500000   Epoch: 0   Global Step: 700   Required: 9 hours
Training: 2021-10-27 21:55:03,159-Speed 250.64 samples/sec   Loss 45.0111   LearningRate 0.2500000   Epoch: 0   Global Step: 750   Required: 8 hours
Training: 2021-10-27 21:55:28,778-Speed 249.86 samples/sec   Loss 44.5843   LearningRate 0.2500000   Epoch: 0   Global Step: 800   Required: 8 hours
Training: 2021-10-27 21:55:54,416-Speed 249.66 samples/sec   Loss 43.9542   LearningRate 0.2500000   Epoch: 0   Global Step: 850   Required: 8 hours
Training: 2021-10-27 21:56:20,054-Speed 249.67 samples/sec   Loss 44.5456   LearningRate 0.2500000   Epoch: 0   Global Step: 900   Required: 8 hours
Training: 2021-10-27 21:56:45,708-Speed 249.51 samples/sec   Loss 43.1538   LearningRate 0.2500000   Epoch: 0   Global Step: 950   Required: 8 hours
Training: 2021-10-27 21:57:11,341-Speed 249.71 samples/sec   Loss 43.3782   LearningRate 0.2500000   Epoch: 0   Global Step: 1000   Required: 8 hours
Training: 2021-10-27 21:57:36,944-Speed 250.00 samples/sec   Loss 42.6079   LearningRate 0.2500000   Epoch: 0   Global Step: 1050   Required: 8 hours
Training: 2021-10-27 21:58:02,536-Speed 250.11 samples/sec   Loss 42.5428   LearningRate 0.2500000   Epoch: 0   Global Step: 1100   Required: 8 hours
Training: 2021-10-27 21:58:28,120-Speed 250.20 samples/sec   Loss 42.9240   LearningRate 0.2500000   Epoch: 0   Global Step: 1150   Required: 8 hours
Training: 2021-10-27 21:58:53,705-Speed 250.18 samples/sec   Loss 43.8201   LearningRate 0.2500000   Epoch: 0   Global Step: 1200   Required: 8 hours
Training: 2021-10-27 21:59:19,281-Speed 250.28 samples/sec   Loss 44.1469   LearningRate 0.2500000   Epoch: 0   Global Step: 1250   Required: 8 hours
Training: 2021-10-27 21:59:44,860-Speed 250.24 samples/sec   Loss 43.0880   LearningRate 0.2500000   Epoch: 0   Global Step: 1300   Required: 8 hours
Training: 2021-10-27 22:00:10,436-Speed 250.26 samples/sec   Loss 43.0371   LearningRate 0.2500000   Epoch: 0   Global Step: 1350   Required: 8 hours
Training: 2021-10-27 22:00:35,993-Speed 250.44 samples/sec   Loss 43.1931   LearningRate 0.2500000   Epoch: 0   Global Step: 1400   Required: 8 hours
Training: 2021-10-27 22:01:01,596-Speed 250.00 samples/sec   Loss 43.1612   LearningRate 0.2500000   Epoch: 0   Global Step: 1450   Required: 8 hours
Training: 2021-10-27 22:01:27,248-Speed 249.52 samples/sec   Loss 43.4362   LearningRate 0.2500000   Epoch: 0   Global Step: 1500   Required: 8 hours
Training: 2021-10-27 22:01:52,869-Speed 249.82 samples/sec   Loss 43.1301   LearningRate 0.2500000   Epoch: 0   Global Step: 1550   Required: 8 hours
Training: 2021-10-27 22:02:18,485-Speed 249.88 samples/sec   Loss 43.1935   LearningRate 0.2500000   Epoch: 0   Global Step: 1600   Required: 8 hours
Training: 2021-10-27 22:02:44,078-Speed 250.10 samples/sec   Loss 42.9139   LearningRate 0.2500000   Epoch: 0   Global Step: 1650   Required: 8 hours
Training: 2021-10-27 22:03:09,689-Speed 249.93 samples/sec   Loss 43.1200   LearningRate 0.2500000   Epoch: 0   Global Step: 1700   Required: 7 hours
Training: 2021-10-27 22:03:35,293-Speed 249.99 samples/sec   Loss 43.0888   LearningRate 0.2500000   Epoch: 0   Global Step: 1750   Required: 7 hours
Training: 2021-10-27 22:04:00,863-Speed 250.33 samples/sec   Loss 43.0715   LearningRate 0.2500000   Epoch: 0   Global Step: 1800   Required: 7 hours
Training: 2021-10-27 22:04:26,439-Speed 250.27 samples/sec   Loss 43.1611   LearningRate 0.2500000   Epoch: 0   Global Step: 1850   Required: 7 hours
Training: 2021-10-27 22:04:52,004-Speed 250.37 samples/sec   Loss 43.0727   LearningRate 0.2500000   Epoch: 0   Global Step: 1900   Required: 7 hours
Training: 2021-10-27 22:05:17,593-Speed 250.15 samples/sec   Loss 42.8666   LearningRate 0.2500000   Epoch: 0   Global Step: 1950   Required: 7 hours
Training: 2021-10-27 22:05:43,150-Speed 250.45 samples/sec   Loss 43.0418   LearningRate 0.2500000   Epoch: 0   Global Step: 2000   Required: 7 hours
Training: 2021-10-27 22:07:08,489-[agedb_30][2000]XNorm: 36.474722
Training: 2021-10-27 22:07:08,490-[agedb_30][2000]Accuracy-Flip: 0.49900+-0.00704
Training: 2021-10-27 22:07:08,490-[agedb_30][2000]Accuracy-Highest: 0.49900
Training: 2021-10-27 22:10:38,652-[dev_00][2000]XNorm: 30.206396
Training: 2021-10-27 22:10:38,652-[dev_00][2000]Accuracy-Flip: 0.51060+-0.02205
Training: 2021-10-27 22:10:38,653-[dev_00][2000]Accuracy-Highest: 0.51060
Training: 2021-10-27 22:12:11,451-[dev_04][2000]XNorm: 30.082413
Training: 2021-10-27 22:12:11,451-[dev_04][2000]Accuracy-Flip: 0.49710+-0.01727
Training: 2021-10-27 22:12:11,451-[dev_04][2000]Accuracy-Highest: 0.49710
Training: 2021-10-27 22:12:37,254-Speed 15.46 samples/sec   Loss 42.9074   LearningRate 0.2500000   Epoch: 0   Global Step: 2050   Required: 10 hours
Training: 2021-10-27 22:13:03,220-Speed 246.48 samples/sec   Loss 42.7162   LearningRate 0.2500000   Epoch: 0   Global Step: 2100   Required: 10 hours
Training: 2021-10-27 22:13:29,060-Speed 247.72 samples/sec   Loss 42.5433   LearningRate 0.2500000   Epoch: 0   Global Step: 2150   Required: 10 hours
Training: 2021-10-27 22:13:54,823-Speed 248.45 samples/sec   Loss 42.6571   LearningRate 0.2500000   Epoch: 0   Global Step: 2200   Required: 10 hours
Training: 2021-10-27 22:14:20,695-Speed 247.41 samples/sec   Loss 42.7234   LearningRate 0.2500000   Epoch: 0   Global Step: 2250   Required: 10 hours
Training: 2021-10-27 22:14:46,549-Speed 247.58 samples/sec   Loss 42.5024   LearningRate 0.2500000   Epoch: 0   Global Step: 2300   Required: 9 hours
Training: 2021-10-27 22:15:12,416-Speed 247.45 samples/sec   Loss 42.3299   LearningRate 0.2500000   Epoch: 0   Global Step: 2350   Required: 9 hours
Training: 2021-10-27 22:15:38,254-Speed 247.72 samples/sec   Loss 42.1593   LearningRate 0.2500000   Epoch: 0   Global Step: 2400   Required: 9 hours
Training: 2021-10-27 22:16:04,049-Speed 248.15 samples/sec   Loss 42.1361   LearningRate 0.2500000   Epoch: 0   Global Step: 2450   Required: 9 hours
Training: 2021-10-27 22:16:21,368-Pytorch Model Saved in '/output/webface_r50_512/backbone.pth'
Training: 2021-10-27 22:16:22,897-Pytorch Model Saved in '/output/webface_r50_512/backbone_000.pth'
Training: 2021-10-27 22:16:32,482-Speed 225.12 samples/sec   Loss 41.6205   LearningRate 0.2500000   Epoch: 1   Global Step: 2500   Required: 9 hours
Training: 2021-10-27 22:16:58,164-Speed 249.23 samples/sec   Loss 40.9770   LearningRate 0.2500000   Epoch: 1   Global Step: 2550   Required: 9 hours
Training: 2021-10-27 22:17:23,828-Speed 249.41 samples/sec   Loss 41.0139   LearningRate 0.2500000   Epoch: 1   Global Step: 2600   Required: 9 hours
Training: 2021-10-27 22:17:49,482-Speed 249.51 samples/sec   Loss 40.8804   LearningRate 0.2500000   Epoch: 1   Global Step: 2650   Required: 9 hours
Training: 2021-10-27 22:18:15,093-Speed 249.92 samples/sec   Loss 40.7710   LearningRate 0.2500000   Epoch: 1   Global Step: 2700   Required: 9 hours
Training: 2021-10-27 22:18:40,692-Speed 250.05 samples/sec   Loss 40.6780   LearningRate 0.2500000   Epoch: 1   Global Step: 2750   Required: 9 hours
Training: 2021-10-27 22:19:06,270-Speed 250.25 samples/sec   Loss 40.8545   LearningRate 0.2500000   Epoch: 1   Global Step: 2800   Required: 9 hours
Training: 2021-10-27 22:19:31,846-Speed 250.27 samples/sec   Loss 40.3586   LearningRate 0.2500000   Epoch: 1   Global Step: 2850   Required: 9 hours
Training: 2021-10-27 22:19:57,412-Speed 250.36 samples/sec   Loss 40.2127   LearningRate 0.2500000   Epoch: 1   Global Step: 2900   Required: 9 hours
Training: 2021-10-27 22:20:22,999-Speed 250.16 samples/sec   Loss 40.1437   LearningRate 0.2500000   Epoch: 1   Global Step: 2950   Required: 9 hours
Training: 2021-10-27 22:20:48,536-Speed 250.65 samples/sec   Loss 39.8470   LearningRate 0.2500000   Epoch: 1   Global Step: 3000   Required: 9 hours
Training: 2021-10-27 22:21:14,104-Speed 250.35 samples/sec   Loss 39.8360   LearningRate 0.2500000   Epoch: 1   Global Step: 3050   Required: 9 hours
Training: 2021-10-27 22:21:39,663-Speed 250.43 samples/sec   Loss 39.7910   LearningRate 0.2500000   Epoch: 1   Global Step: 3100   Required: 9 hours
Training: 2021-10-27 22:22:05,208-Speed 250.57 samples/sec   Loss 39.4094   LearningRate 0.2500000   Epoch: 1   Global Step: 3150   Required: 9 hours
Training: 2021-10-27 22:22:30,822-Speed 249.90 samples/sec   Loss 39.3076   LearningRate 0.2500000   Epoch: 1   Global Step: 3200   Required: 9 hours
Training: 2021-10-27 22:22:56,501-Speed 249.27 samples/sec   Loss 39.1973   LearningRate 0.2500000   Epoch: 1   Global Step: 3250   Required: 8 hours
