Training: 2021-11-09 10:15:04,798-rank_id: 0
Training: 2021-11-09 10:15:10,959-backbone resume successfully!
Training: 2021-11-09 10:15:11,070-softmax weight init!
Training: 2021-11-09 10:15:11,070-softmax weight mom init!
Training: 2021-11-09 10:15:11,071-: loss                     arcface
Training: 2021-11-09 10:15:11,071-: network                  r50
Training: 2021-11-09 10:15:11,071-: resume                   True
Training: 2021-11-09 10:15:11,071-: output                   /output/webface_r50_512_5
Training: 2021-11-09 10:15:11,072-: dataset                  webface
Training: 2021-11-09 10:15:11,072-: embedding_size           512
Training: 2021-11-09 10:15:11,072-: sample_rate              1
Training: 2021-11-09 10:15:11,072-: fp16                     False
Training: 2021-11-09 10:15:11,072-: momentum                 0.9
Training: 2021-11-09 10:15:11,072-: weight_decay             0.0005
Training: 2021-11-09 10:15:11,072-: batch_size               64
Training: 2021-11-09 10:15:11,072-: lr                       0.1
Training: 2021-11-09 10:15:11,072-: rec                      /data
Training: 2021-11-09 10:15:11,072-: num_classes              10572
Training: 2021-11-09 10:15:11,072-: num_image                forget
Training: 2021-11-09 10:15:11,072-: num_epoch                6
Training: 2021-11-09 10:15:11,073-: warmup_epoch             -1
Training: 2021-11-09 10:15:11,073-: decay_epoch              [3]
Training: 2021-11-09 10:15:11,073-: val_targets              ['agedb_30', 'dev_00', 'dev_04']
Training: 2021-11-09 10:15:11,073-: resume_file              /pretrained/backbone.pth
Training: 2021-11-09 10:15:11,073-: warmup_step              -6197
Training: 2021-11-09 10:15:11,073-: total_step               37182
Training: 2021-11-09 10:15:11,073-: decay_step               [18592]
Training: 2021-11-09 10:15:11,073-Dataset initialization
Training: 2021-11-09 10:17:01,589-Dataset initialization completed
Training: 2021-11-09 10:17:05,509-Reducer buckets have been rebuilt in this iteration.
Training: 2021-11-09 10:18:19,356-Speed 168.01 samples/sec   Loss 46.5714   LearningRate 0.0250000   Epoch: 0   Global Step: 100   Required: 8 hours
Training: 2021-11-09 10:18:53,447-Speed 187.74 samples/sec   Loss 45.4893   LearningRate 0.0250000   Epoch: 0   Global Step: 150   Required: 8 hours
Training: 2021-11-09 10:19:23,617-Speed 212.15 samples/sec   Loss 43.6715   LearningRate 0.0250000   Epoch: 0   Global Step: 200   Required: 7 hours
Training: 2021-11-09 10:19:50,639-Speed 236.87 samples/sec   Loss 42.1333   LearningRate 0.0250000   Epoch: 0   Global Step: 250   Required: 7 hours
Training: 2021-11-09 10:20:16,436-Speed 248.12 samples/sec   Loss 40.7195   LearningRate 0.0250000   Epoch: 0   Global Step: 300   Required: 7 hours
Training: 2021-11-09 10:20:42,109-Speed 249.32 samples/sec   Loss 39.4359   LearningRate 0.0250000   Epoch: 0   Global Step: 350   Required: 6 hours
Training: 2021-11-09 10:21:07,949-Speed 247.72 samples/sec   Loss 38.4657   LearningRate 0.0250000   Epoch: 0   Global Step: 400   Required: 6 hours
Training: 2021-11-09 10:21:33,905-Speed 246.59 samples/sec   Loss 36.9909   LearningRate 0.0250000   Epoch: 0   Global Step: 450   Required: 6 hours
