Training: 2021-10-26 11:13:06,227-rank_id: 0
Training: 2021-10-26 11:13:12,382-softmax weight init successfully!
Training: 2021-10-26 11:13:12,382-softmax weight mom init successfully!
Training: 2021-10-26 11:13:12,383-: loss                     arcface
Training: 2021-10-26 11:13:12,383-: network                  r18
Training: 2021-10-26 11:13:12,383-: resume                   False
Training: 2021-10-26 11:13:12,384-: output                   /output/webface_r18_2048
Training: 2021-10-26 11:13:12,384-: dataset                  webface
Training: 2021-10-26 11:13:12,384-: embedding_size           2048
Training: 2021-10-26 11:13:12,384-: sample_rate              1
Training: 2021-10-26 11:13:12,384-: fp16                     False
Training: 2021-10-26 11:13:12,384-: momentum                 0.9
Training: 2021-10-26 11:13:12,384-: weight_decay             0.0005
Training: 2021-10-26 11:13:12,384-: batch_size               32
Training: 2021-10-26 11:13:12,384-: lr                       0.1
Training: 2021-10-26 11:13:12,384-: rec                      /data
Training: 2021-10-26 11:13:12,384-: num_classes              10572
Training: 2021-10-26 11:13:12,385-: num_image                forget
Training: 2021-10-26 11:13:12,385-: num_epoch                50
Training: 2021-10-26 11:13:12,385-: warmup_epoch             -1
Training: 2021-10-26 11:13:12,385-: decay_epoch              [20, 30, 40]
Training: 2021-10-26 11:13:12,385-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2021-10-26 11:13:12,385-: warmup_step              -4967
Training: 2021-10-26 11:13:12,385-: total_step               248350
Training: 2021-10-26 11:13:12,385-: decay_step               [99349, 149024, 198698]
Training: 2021-10-26 11:13:12,385-Dataset initialization
Training: 2021-10-26 11:14:27,595-Dataset initialization completed
Training: 2021-10-26 11:14:29,556-Reducer buckets have been rebuilt in this iteration.
Training: 2021-10-26 11:14:49,615-Speed 315.15 samples/sec   Loss 41.5244   LearningRate 0.0125000   Epoch: 0   Global Step: 100   Required: 15 hours
Training: 2021-10-26 11:14:59,809-Speed 314.30 samples/sec   Loss 41.6458   LearningRate 0.0125000   Epoch: 0   Global Step: 150   Required: 15 hours
Training: 2021-10-26 11:15:10,060-Speed 312.58 samples/sec   Loss 41.4743   LearningRate 0.0125000   Epoch: 0   Global Step: 200   Required: 15 hours
Training: 2021-10-26 11:15:20,368-Speed 310.85 samples/sec   Loss 41.4548   LearningRate 0.0125000   Epoch: 0   Global Step: 250   Required: 14 hours
Training: 2021-10-26 11:15:30,760-Speed 308.32 samples/sec   Loss 41.1115   LearningRate 0.0125000   Epoch: 0   Global Step: 300   Required: 14 hours
Training: 2021-10-26 11:15:41,223-Speed 306.20 samples/sec   Loss 41.2015   LearningRate 0.0125000   Epoch: 0   Global Step: 350   Required: 14 hours
