Training: 2021-10-27 21:45:33,319-rank_id: 0
Training: 2021-10-27 21:45:40,036-softmax weight init successfully!
Training: 2021-10-27 21:45:40,036-softmax weight mom init successfully!
Training: 2021-10-27 21:45:40,037-: loss                     arcface
Training: 2021-10-27 21:45:40,037-: network                  r50
Training: 2021-10-27 21:45:40,037-: resume                   False
Training: 2021-10-27 21:45:40,037-: output                   /output/webface_r50_2048
Training: 2021-10-27 21:45:40,037-: dataset                  webface
Training: 2021-10-27 21:45:40,038-: embedding_size           2048
Training: 2021-10-27 21:45:40,038-: sample_rate              1
Training: 2021-10-27 21:45:40,038-: fp16                     False
Training: 2021-10-27 21:45:40,038-: momentum                 0.9
Training: 2021-10-27 21:45:40,038-: weight_decay             0.0005
Training: 2021-10-27 21:45:40,038-: batch_size               32
Training: 2021-10-27 21:45:40,038-: lr                       1
Training: 2021-10-27 21:45:40,038-: rec                      /data
Training: 2021-10-27 21:45:40,038-: num_classes              10572
Training: 2021-10-27 21:45:40,038-: num_image                forget
Training: 2021-10-27 21:45:40,038-: num_epoch                20
Training: 2021-10-27 21:45:40,038-: warmup_epoch             -1
Training: 2021-10-27 21:45:40,038-: decay_epoch              [20, 30, 40]
Training: 2021-10-27 21:45:40,039-: val_targets              ['agedb_30', 'dev_00', 'dev_04']
Training: 2021-10-27 21:45:40,039-: warmup_step              -4967
Training: 2021-10-27 21:45:40,039-: total_step               99340
Training: 2021-10-27 21:45:40,039-: decay_step               [99349, 149024, 198698]
Training: 2021-10-27 21:45:40,039-Dataset initialization
Training: 2021-10-27 21:47:30,391-Dataset initialization completed
Training: 2021-10-27 21:47:32,550-Reducer buckets have been rebuilt in this iteration.
Training: 2021-10-27 21:48:03,015-Speed 207.34 samples/sec   Loss 48.3341   LearningRate 0.1250000   Epoch: 0   Global Step: 100   Required: 9 hours
Training: 2021-10-27 21:48:18,663-Speed 204.67 samples/sec   Loss 50.8634   LearningRate 0.1250000   Epoch: 0   Global Step: 150   Required: 9 hours
Training: 2021-10-27 21:48:34,547-Speed 201.62 samples/sec   Loss 49.9534   LearningRate 0.1250000   Epoch: 0   Global Step: 200   Required: 9 hours
Training: 2021-10-27 21:48:50,575-Speed 199.81 samples/sec   Loss 49.8689   LearningRate 0.1250000   Epoch: 0   Global Step: 250   Required: 9 hours
Training: 2021-10-27 21:49:06,229-Speed 204.57 samples/sec   Loss 48.9667   LearningRate 0.1250000   Epoch: 0   Global Step: 300   Required: 9 hours
Training: 2021-10-27 21:49:21,795-Speed 205.74 samples/sec   Loss 48.3413   LearningRate 0.1250000   Epoch: 0   Global Step: 350   Required: 9 hours
