Training: 2021-10-22 07:54:34,153-rank_id: 0
Training: 2021-10-22 07:54:51,336-softmax weight init successfully!
Training: 2021-10-22 07:54:51,337-softmax weight mom init successfully!
Training: 2021-10-22 07:54:51,338-: loss                     arcface
Training: 2021-10-22 07:54:51,338-: network                  r18
Training: 2021-10-22 07:54:51,338-: resume                   False
Training: 2021-10-22 07:54:51,338-: output                   /output/webface_r18_512
Training: 2021-10-22 07:54:51,338-: dataset                  webface
Training: 2021-10-22 07:54:51,338-: embedding_size           512
Training: 2021-10-22 07:54:51,338-: sample_rate              1
Training: 2021-10-22 07:54:51,338-: fp16                     False
Training: 2021-10-22 07:54:51,338-: momentum                 0.9
Training: 2021-10-22 07:54:51,338-: weight_decay             0.0005
Training: 2021-10-22 07:54:51,338-: batch_size               64
Training: 2021-10-22 07:54:51,338-: lr                       0.1
Training: 2021-10-22 07:54:51,339-: rec                      /data
Training: 2021-10-22 07:54:51,339-: num_classes              10572
Training: 2021-10-22 07:54:51,339-: num_image                forget
Training: 2021-10-22 07:54:51,339-: num_epoch                1
Training: 2021-10-22 07:54:51,339-: warmup_epoch             -1
Training: 2021-10-22 07:54:51,339-: decay_epoch              [20, 30, 40]
Training: 2021-10-22 07:54:51,339-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2021-10-22 07:54:51,339-: warmup_step              -2483
Training: 2021-10-22 07:54:51,339-: total_step               2483
Training: 2021-10-22 07:54:51,339-: decay_step               [49674, 74512, 99349]
Training: 2021-10-22 07:56:11,843-Reducer buckets have been rebuilt in this iteration.
Training: 2021-10-22 07:56:38,511-Speed 472.84 samples/sec   Loss 47.4532   LearningRate 0.0250   Epoch: 0   Global Step: 100   Required: 0 hours
Training: 2021-10-22 07:56:52,198-Speed 467.70 samples/sec   Loss 46.6503   LearningRate 0.0250   Epoch: 0   Global Step: 150   Required: 0 hours
Training: 2021-10-22 07:57:06,091-Speed 460.78 samples/sec   Loss 45.5360   LearningRate 0.0250   Epoch: 0   Global Step: 200   Required: 0 hours
Training: 2021-10-22 07:57:20,181-Speed 454.35 samples/sec   Loss 44.5365   LearningRate 0.0250   Epoch: 0   Global Step: 250   Required: 0 hours
Training: 2021-10-22 07:57:34,462-Speed 448.22 samples/sec   Loss 43.9173   LearningRate 0.0250   Epoch: 0   Global Step: 300   Required: 0 hours
Training: 2021-10-22 07:57:48,622-Speed 452.09 samples/sec   Loss 43.3166   LearningRate 0.0250   Epoch: 0   Global Step: 350   Required: 0 hours
Training: 2021-10-22 07:58:02,648-Speed 456.42 samples/sec   Loss 42.6746   LearningRate 0.0250   Epoch: 0   Global Step: 400   Required: 0 hours
Training: 2021-10-22 07:58:16,633-Speed 457.76 samples/sec   Loss 42.2073   LearningRate 0.0250   Epoch: 0   Global Step: 450   Required: 0 hours
Training: 2021-10-22 07:58:30,682-Speed 455.64 samples/sec   Loss 41.8433   LearningRate 0.0250   Epoch: 0   Global Step: 500   Required: 0 hours
Training: 2021-10-22 07:58:44,813-Speed 453.04 samples/sec   Loss 41.3967   LearningRate 0.0250   Epoch: 0   Global Step: 550   Required: 0 hours
